"river","date","daily_mean_temp","daily_max_temp","daily_min_temp","qPredicted","sample_number","season","seasonal","seasonFill","sampleNumberFill","watershed","section","median_date","year"
"west brook",1997-05-21,11.1933333333333,12.95,9.92,0.570754047516228,10,2,TRUE,2,10,"west",NA,NA,1997
"west brook",1997-05-22,10.40875,11.475,9.29,0.363072566314356,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-05-23,10.22125,11.78,8.99,0.312942553610456,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-05-24,10.7420833333333,12.72,9.29,0.287877547258506,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-05-25,11.4602083333333,12.565,11.01,0.277135401679099,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-05-26,11.8208333333333,13.49,10.86,0.28429683206537,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-05-27,10.81875,12.64,9.14,0.216263243395792,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-05-28,10.8,13.33,8.84,0.187617521850706,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-05-29,11.8027083333333,13.95,10.08,0.162552515498756,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-05-30,11.7364583333333,13.335,10.86,0.144648939533077,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-05-31,12.3439583333333,14.42,11.32,0.137487509146806,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-06-01,13.1972916666667,14.265,12.87,0.126745363567398,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-06-02,12.45875,12.95,12.25,0.13390679395367,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-06-03,11.3708333333333,12.41,10.54,0.116003217987991,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-06-04,11.0075,12.41,9.61,0.0980996420223127,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-06-05,11.14875,13.03,9.76,0.0837767812497699,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-06-06,11.9360416666667,13.18,10.7,0.069453920477227,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-06-07,11.4125,13.025,10.39,0.0622924900909555,NA,NA,NA,2,10,"west",NA,NA,1997
"west brook",1997-06-08,11.4708333333333,13.18,10.23,0.0551310597046841,NA,NA,NA,2,10,"west",NA,NA,1997
