watershed,riverFull,riverAbbr,section,lat,lon,riverN,sectionN,terminalTrib
west,WB Jimmy,OL,1,42.43468072,-72.67026573,3,1,1
west,WB Jimmy,OL,2,42.43483882,-72.67039327,3,2,1
west,WB Jimmy,OL,3,42.43496056,-72.67059229,3,3,1
west,WB Jimmy,OL,4,42.43502554,-72.67083981,3,4,1
west,WB Jimmy,OL,5,42.4350887,-72.67108042,3,5,1
west,WB Jimmy,OL,6,42.43517777,-72.67133249,3,6,1
west,WB Jimmy,OL,7,42.43526697,-72.67157851,3,7,1
west,WB Jimmy,OL,8,42.43541158,-72.67175172,3,8,1
west,WB Jimmy,OL,9,42.435557,-72.6719172,3,9,1
west,WB Jimmy,OL,10,42.43572117,-72.67198431,3,10,1
west,WB Jimmy,OL,11,42.43589782,-72.67201877,3,11,1
west,WB Jimmy,OL,12,42.43608406,-72.6720083,3,12,1
west,WB Jimmy,OL,13,42.43626803,-72.67199444,3,13,1
west,WB Jimmy,OL,14,42.43644703,-72.67197927,3,14,1
west,WB Mitchell,OS,-1,42.43337726,-72.66815915,5,1,1
west,WB Mitchell,OS,0,42.43337726,-72.66815915,5,1,1
west,WB Mitchell,OS,1,42.43337726,-72.66815915,5,1,1
west,WB Mitchell,OS,2,42.43356231,-72.66806628,5,2,1
west,WB Mitchell,OS,3,42.43374675,-72.6680088,5,3,1
west,WB Mitchell,OS,4,42.43392303,-72.66798661,5,4,1
west,WB Mitchell,OS,5,42.43410009,-72.66791895,5,5,1
west,WB Mitchell,OS,6,42.43425763,-72.66777749,5,6,1
west,WB Mitchell,OS,7,42.43438126,-72.66758412,5,7,1
west,WB Mitchell,OS,8,42.43453446,-72.66740882,5,8,1
west,WB Mitchell,OS,9,42.43473065,-72.66736048,5,9,1
west,WB Mitchell,OS,10,42.43489507,-72.66744446,5,10,1
west,WB Mitchell,OS,11,42.43505955,-72.66753036,5,11,1
west,WB Mitchell,OS,12,42.43525689,-72.66749088,5,12,1
west,WB Mitchell,OS,13,42.43542973,-72.6673785,5,13,1
west,WB Mitchell,OS,14,42.43559339,-72.66723963,5,14,1
west,WB Mitchell,OS,15,42.43574981,-72.66708664,5,15,1
west,WB Obear,IL,1,42.43472715,-72.67144392,1,1,1
west,WB Obear,IL,2,42.4346633,-72.67167503,1,2,1
west,WB Obear,IL,3,42.43460708,-72.67190533,1,3,1
west,WB Obear,IL,4,42.4345255,-72.67213843,1,4,1
west,WB Obear,IL,5,42.43436816,-72.67228545,1,5,1
west,WB Obear,IL,6,42.43416729,-72.6722982,1,6,1
west,WB Obear,IL,7,42.43397343,-72.6723116,1,7,1
west,WB Obear,IL,8,42.43380165,-72.67239668,1,8,1
west,WB Obear,IL,9,42.43365136,-72.67254871,1,9,1
west,WB Obear,IL,10,42.43349963,-72.67270219,1,10,1
west,WB Obear,IL,11,42.43334883,-72.67288117,1,11,1
west,WB Obear,IL,12,42.43322346,-72.67305823,1,12,1
west,WB Obear,IL,13,42.43310298,-72.67324317,1,13,1
west,WB Obear,IL,14,42.43298409,-72.67347649,1,14,1
west,WB Obear,IL,15,42.4329067,-72.67371345,1,15,1
west,West Brook,WB,-1,42.43058586,-72.66287968,7,1,0
west,West Brook,WB,0,42.43138586,-72.66377968,6,1,0
west,West Brook,WB,1,42.43158586,-72.66407968,6,1,0
west,West Brook,WB,2,42.43170346,-72.66429173,6,2,0
west,West Brook,WB,3,42.43181744,-72.66450882,6,3,0
west,West Brook,WB,4,42.43193801,-72.66469843,6,4,0
west,West Brook,WB,5,42.4320656,-72.66487307,6,5,0
west,West Brook,WB,6,42.43221357,-72.66506497,6,6,0
west,West Brook,WB,7,42.43234584,-72.66526002,6,7,0
west,West Brook,WB,8,42.43242566,-72.66547963,6,8,0
west,West Brook,WB,9,42.43251065,-72.66571347,6,9,0
west,West Brook,WB,10,42.43261588,-72.66592031,6,10,0
west,West Brook,WB,11,42.43273134,-72.66613214,6,11,0
west,West Brook,WB,12,42.43278243,-72.66638405,6,12,0
west,West Brook,WB,13,42.432791,-72.66662435,6,13,0
west,West Brook,WB,14,42.43281148,-72.66687685,6,14,0
west,West Brook,WB,15,42.43285835,-72.66715579,6,15,0
west,West Brook,WB,16,42.43293849,-72.66740116,6,16,0
west,West Brook,WB,17,42.43301367,-72.66762314,6,17,0
west,West Brook,WB,18,42.43309824,-72.66784587,6,18,0
west,West Brook,WB,19,42.43322854,-72.66803342,6,19,0
west,West Brook,WB,20,42.43331205,-72.66826401,6,20,0
west,West Brook,WB,21,42.43341459,-72.66848431,4,1,0
west,West Brook,WB,22,42.43351134,-72.66871337,4,2,0
west,West Brook,WB,23,42.43359871,-72.66894695,4,3,0
west,West Brook,WB,24,42.43368548,-72.66917889,4,4,0
west,West Brook,WB,25,42.43377592,-72.66938991,4,5,0
west,West Brook,WB,26,42.43388143,-72.66958558,4,6,0
west,West Brook,WB,27,42.43401818,-72.66975718,4,7,0
west,West Brook,WB,28,42.43416349,-72.66989734,4,8,0
west,West Brook,WB,29,42.43431051,-72.67002337,4,9,0
west,West Brook,WB,30,42.43448322,-72.67013813,4,10,0
west,West Brook,WB,31,42.43462026,-72.67032567,4,11,0
west,West Brook,WB,32,42.43471294,-72.67052846,2,1,0
west,West Brook,WB,33,42.43476808,-72.67077316,2,2,1
west,West Brook,WB,34,42.43476081,-72.67103044,2,3,1
west,West Brook,WB,35,42.43477449,-72.67128005,2,4,1
west,West Brook,WB,36,42.43486132,-72.67150996,0,1,1
west,West Brook,WB,37,42.43487693,-72.6717676,0,2,1
west,West Brook,WB,38,42.43487627,-72.67199718,0,3,1
west,West Brook,WB,39,42.43483663,-72.67220868,0,4,1
west,West Brook,WB,40,42.43480418,-72.67243958,0,5,1
west,West Brook,WB,41,42.43479391,-72.6726783,0,6,1
west,West Brook,WB,42,42.4347834,-72.67292251,0,7,1
west,West Brook,WB,43,42.43478141,-72.67319932,0,8,1
west,West Brook,WB,44,42.43480355,-72.67346486,0,9,1
west,West Brook,WB,45,42.43482412,-72.67371157,0,10,1
west,West Brook,WB,46,42.43487647,-72.67396483,0,11,1
west,West Brook,WB,47,42.43495154,-72.67417129,0,12,1
west,West Brook,WB,48,42.43525154,-72.67421129,0,13,1
stanley,tidal,tidal,-1,44.29564822,-68.24139508,4,1,0
stanley,tidal,tidal,1,44.29646559,-68.24154928,3,1,0
stanley,tidal,tidal,2,44.29678253,-68.24163778,3,2,0
stanley,tidal,tidal,3,44.29710238,-68.24169686,3,3,0
stanley,tidal,tidal,4,44.29742455,-68.24173249,3,4,0
stanley,tidal,tidal,5,44.2977471,-68.24174809,3,5,0
stanley,tidal,tidal,6,44.29807016,-68.24173639,3,6,0
stanley,mainstem,mainstem,7,44.29839323,-68.2417247,2,1,0
stanley,mainstem,mainstem,8,44.29870769,-68.24162442,2,2,0
stanley,mainstem,mainstem,9,44.29902125,-68.24151483,2,3,0
stanley,mainstem,mainstem,10,44.29932031,-68.24158779,2,4,0
stanley,mainstem,mainstem,11,44.29960898,-68.24179131,2,5,0
stanley,mainstem,mainstem,12,44.29989765,-68.24199483,2,6,0
stanley,mainstem,mainstem,13,44.30019198,-68.24218139,2,7,0
stanley,mainstem,mainstem,14,44.30048881,-68.24236041,2,8,0
stanley,mainstem,mainstem,15,44.30078564,-68.24253944,2,9,0
stanley,mainstem,mainstem,16,44.30108439,-68.24270919,2,10,0
stanley,mainstem,mainstem,17,44.30140347,-68.24278103,2,11,0
stanley,mainstem,mainstem,18,44.30172255,-68.24285288,2,12,0
stanley,mainstem,mainstem,19,44.30204163,-68.24292472,2,13,0
stanley,mainstem,mainstem,20,44.30236021,-68.24299935,2,14,0
stanley,mainstem,mainstem,21,44.30266546,-68.24314804,2,15,0
stanley,mainstem,mainstem,22,44.30297071,-68.24329674,2,16,0
stanley,mainstem,mainstem,23,44.30327596,-68.24344543,2,17,0
stanley,mainstem,mainstem,24,44.30358249,-68.24357763,2,18,0
stanley,mainstem,mainstem,25,44.30390344,-68.24352461,2,19,0
stanley,mainstem,mainstem,26,44.30422439,-68.24347158,2,20,0
stanley,mainstem,mainstem,27,44.30454535,-68.24341855,2,21,0
stanley,mainstem,mainstem,28,44.3048663,-68.24336552,2,22,0
stanley,mainstem,mainstem,29,44.30518725,-68.2433125,2,23,0
stanley,mainstem,mainstem,30,44.30550631,-68.24324364,2,24,0
stanley,mainstem,mainstem,31,44.30582203,-68.24314692,2,25,0
stanley,mainstem,mainstem,32,44.3061044,-68.24334886,2,26,0
stanley,mainstem,mainstem,33,44.30638397,-68.243576,2,27,0
stanley,east,east,34,44.30656952,-68.24345963,1,1,1
stanley,east,east,35,44.30679818,-68.24307208,1,2,1
stanley,east,east,36,44.30702514,-68.24268288,1,3,1
stanley,west,west,34,44.30664822,-68.24379508,0,1,1
stanley,west,west,35,44.30689717,-68.2440061,0,2,1
stanley,west,west,36,44.30714613,-68.24421712,0,3,1
stanley,west,west,37,44.30739508,-68.24442814,0,4,1
stanley,west,west,38,44.30764403,-68.24463916,0,5,1
stanley,west,west,39,44.30790448,-68.24481336,0,6,1
stanley,west,west,40,44.30818404,-68.24492643,0,7,1
stanley,west,west,41,44.3084636,-68.2450395,0,8,1
stanley,west,west,42,44.30874316,-68.24515257,0,9,1
stanley,west,west,43,44.30900947,-68.24530445,0,10,1
stanley,west,west,44,44.30921554,-68.24559224,0,11,1
stanley,west,west,45,44.30942162,-68.24588003,0,12,1
stanley,west,west,46,44.30965076,-68.24613024,0,13,1
stanley,west,west,47,44.30988496,-68.24637212,0,14,1
stanley,west,west,48,44.31012774,-68.24659683,0,15,1
stanley,west,west,49,44.31037052,-68.24682153,0,16,1
stanley,west,west,50,44.3106133,-68.24704623,0,17,1
